date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:07	11163/11163	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Aug%202024%2006:55:51%20GMT	http://bizweb.dktcdn.net/100/382/166/themes/900578/assets/logo.png?1724210132257	D:/yenmarket/clone/bizweb.dktcdn.net/100/382/166/themes/900578/assets/logo5300.png	(from https://yenmarket.vn/)
15:47:09	107845/107845	---M-Z	200	added ('OK')	text/html	etag:W/%22a9d3c0e1186147cfe9c7280c859a45fa%22	https://yenmarket.vn/search?type=product&q=	D:/yenmarket/clone/yenmarket.vn/searchabd6.html	(from https://yenmarket.vn/)
15:47:16	113374/113374	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Aug%202024%2006:55:51%20GMT	http://bizweb.dktcdn.net/thumb/large/100/382/166/themes/900578/assets/slide-img1.png?1724210132257	D:/yenmarket/clone/bizweb.dktcdn.net/thumb/large/100/382/166/themes/900578/assets/slide-img15300.png	(from https://yenmarket.vn/)
15:47:17	87196/87196	---MC-	200	added ('OK')	text/javascript	date:Thu,%2007%20Nov%202024%2008:47:04%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	D:/yenmarket/clone/translate.google.com/translate_a/element7876.js	(from https://yenmarket.vn/)
15:47:19	15001/15001	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Nov%202024%2008:47:09%20GMT	https://yenmarket.vn/account/login	D:/yenmarket/clone/yenmarket.vn/account/login.html	(from https://yenmarket.vn/)
15:47:25	311847/311847	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Sep%202024%2016:46:12%20GMT	http://bizweb.dktcdn.net/100/382/166/themes/900578/assets/slide-img1.png?1724210132257	D:/yenmarket/clone/bizweb.dktcdn.net/100/382/166/themes/900578/assets/slide-img15300.png	(from https://yenmarket.vn/)
15:47:25	14063/14063	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Nov%202024%2008:47:20%20GMT	https://yenmarket.vn/account/register	D:/yenmarket/clone/yenmarket.vn/account/register.html	(from https://yenmarket.vn/)
15:47:25	106440/106440	---M-Z	200	added ('OK')	text/html	etag:W/%225ebdb393c8b363f1293871b5b44af1e2%22	https://yenmarket.vn/cart	D:/yenmarket/clone/yenmarket.vn/cart.html	(from https://yenmarket.vn/)
15:47:26	466/466	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Aug%202024%2006:55:51%20GMT	http://bizweb.dktcdn.net/100/382/166/themes/900578/assets/vietnam.png?1724210132257	D:/yenmarket/clone/bizweb.dktcdn.net/100/382/166/themes/900578/assets/vietnam5300.png	(from https://yenmarket.vn/)
15:47:26	1393/1393	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Aug%202024%2006:55:51%20GMT	http://bizweb.dktcdn.net/100/382/166/themes/900578/assets/united-kingdom.png?1724210132257	D:/yenmarket/clone/bizweb.dktcdn.net/100/382/166/themes/900578/assets/united-kingdom5300.png	(from https://yenmarket.vn/)
15:47:27	151695/151695	---M-Z	200	added ('OK')	text/html	etag:W/%224b6282a58e235d5ecf8e8aca4888298a%22	https://yenmarket.vn/new-product	D:/yenmarket/clone/yenmarket.vn/new-product.html	(from https://yenmarket.vn/)
15:47:27	135547/135547	---M-Z	200	added ('OK')	text/html	etag:W/%22d00c531d067c57c2ae14096a4ded46e8%22	https://yenmarket.vn/ruou-tsukinoi-cao-cap	D:/yenmarket/clone/yenmarket.vn/ruou-tsukinoi-cao-cap.html	(from https://yenmarket.vn/)
15:47:28	123075/123075	---M-Z	200	added ('OK')	text/html	etag:W/%227ae68e7da9040b141747d2b9f0de4aaf%22	https://yenmarket.vn/bo-wagyu-cao-cap	D:/yenmarket/clone/yenmarket.vn/bo-wagyu-cao-cap.html	(from https://yenmarket.vn/)
15:47:28	130635/130635	---M-Z	200	added ('OK')	text/html	etag:W/%22bfaf64237b09b38301235e0790ff712e%22	https://yenmarket.vn/rau-cu-nam	D:/yenmarket/clone/yenmarket.vn/rau-cu-nam.html	(from https://yenmarket.vn/)
15:47:28	127184/127184	---M-Z	200	added ('OK')	text/html	etag:W/%22fcbdbf6a7cd6ccb76fb90dd5c1c90ce3%22	https://yenmarket.vn/cai-thao	D:/yenmarket/clone/yenmarket.vn/cai-thao.html	(from https://yenmarket.vn/)
15:47:29	127890/127890	---M-Z	200	added ('OK')	text/html	etag:W/%2248969ca6e83d449fd0e7182934552420%22	https://yenmarket.vn/la-me-100g	D:/yenmarket/clone/yenmarket.vn/la-me-100g.html	(from https://yenmarket.vn/)
15:47:29	127321/127321	---M-Z	200	added ('OK')	text/html	etag:W/%227477d41bd5d3cfffc1fc1f24e9d7ab57%22	https://yenmarket.vn/ot-sung-xanh-100g	D:/yenmarket/clone/yenmarket.vn/ot-sung-xanh-100g.html	(from https://yenmarket.vn/)
15:47:29	128346/128346	---M-Z	200	added ('OK')	text/html	etag:W/%2287a8094c0d12642311ff70b19cbf5e79%22	https://yenmarket.vn/salad-my-xoan-crispy-200g	D:/yenmarket/clone/yenmarket.vn/salad-my-xoan-crispy-200g.html	(from https://yenmarket.vn/)
15:47:30	128322/128322	---M-Z	200	added ('OK')	text/html	etag:W/%225031c95d2370d8a96a6b7ad9d9727ef2%22	https://yenmarket.vn/ca-rot-baby-200g	D:/yenmarket/clone/yenmarket.vn/ca-rot-baby-200g.html	(from https://yenmarket.vn/)
15:47:30	127426/127426	---M-Z	200	added ('OK')	text/html	etag:W/%2284736291fe68d27cc3ea19efba4a135a%22	https://yenmarket.vn/ca-chua-bi-do-100g	D:/yenmarket/clone/yenmarket.vn/ca-chua-bi-do-100g.html	(from https://yenmarket.vn/)
15:47:30	127775/127775	---M-Z	200	added ('OK')	text/html	etag:W/%2237c32c2625c0945beeaf98cbbdd1ea9e%22	https://yenmarket.vn/bap-my-nguyen-trai	D:/yenmarket/clone/yenmarket.vn/bap-my-nguyen-trai.html	(from https://yenmarket.vn/)
15:47:30	128556/128556	---M-Z	200	added ('OK')	text/html	etag:W/%22a1a5eba397647f51b183d0243c993990%22	https://yenmarket.vn/nam-dong-co-tuoi-200g	D:/yenmarket/clone/yenmarket.vn/nam-dong-co-tuoi-200g.html	(from https://yenmarket.vn/)
15:47:31	128306/128306	---M-Z	200	added ('OK')	text/html	etag:W/%22cf7eb42129cc4953c836e4619c79b775%22	https://yenmarket.vn/nam-kim-cham-tuoi-200g	D:/yenmarket/clone/yenmarket.vn/nam-kim-cham-tuoi-200g.html	(from https://yenmarket.vn/)
15:47:31	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22da1e9bcd5165d97b627b8a66462c509c%22	https://yenmarket.vn/nam-bao-ngu-trang-tuoi-200g	D:/yenmarket/clone/yenmarket.vn/nam-bao-ngu-trang-tuoi-200g	(from https://yenmarket.vn/)
15:47:31	127574/127574	---M-Z	200	added ('OK')	text/html	etag:W/%2226847cbecea3034a941fd76c6f466582%22	https://yenmarket.vn/hanh-tay	D:/yenmarket/clone/yenmarket.vn/hanh-tay.html	(from https://yenmarket.vn/)
15:47:32	127815/127815	---M-Z	200	added ('OK')	text/html	etag:W/%228e73a9dc544eec2d0103cfeda1090a3d%22	https://yenmarket.vn/hanh-paro-cat-dai	D:/yenmarket/clone/yenmarket.vn/hanh-paro-cat-dai.html	(from https://yenmarket.vn/)
15:47:32	128284/128284	---M-Z	200	added ('OK')	text/html	etag:W/%222555d451249138fb42a72e4a80578a08%22	https://yenmarket.vn/nam-dui-ga-tuoi-200g	D:/yenmarket/clone/yenmarket.vn/nam-dui-ga-tuoi-200g.html	(from https://yenmarket.vn/)
15:47:32	127502/127502	---M-Z	200	added ('OK')	text/html	etag:W/%2297d3f84b6b6a261719e960cffb34ee4a%22	https://yenmarket.vn/nam-linh-chi-nau-125g	D:/yenmarket/clone/yenmarket.vn/nam-linh-chi-nau-125g.html	(from https://yenmarket.vn/)
15:47:32	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%227a61d26ae87b6ecc71c975b613e172bf%22	https://yenmarket.vn/nam-linh-chi-trang-125g	D:/yenmarket/clone/yenmarket.vn/nam-linh-chi-trang-125g	(from https://yenmarket.vn/)
15:47:33	127044/127044	---M-Z	200	added ('OK')	text/html	etag:W/%22b36849a582445971ea2e65090341c80a%22	https://yenmarket.vn/rong-nho-vn-200g	D:/yenmarket/clone/yenmarket.vn/rong-nho-vn-200g.html	(from https://yenmarket.vn/)
15:47:33	121562/121562	---M-Z	200	added ('OK')	text/html	etag:W/%2260a319b71f07b6442572b5829cb6d40d%22	https://yenmarket.vn/trai-cay	D:/yenmarket/clone/yenmarket.vn/trai-cay.html	(from https://yenmarket.vn/)
15:47:33	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22539982467f79394e807610e22b7278d5%22	https://yenmarket.vn/nho-xanh-hello	D:/yenmarket/clone/yenmarket.vn/nho-xanh-hello	(from https://yenmarket.vn/)
15:47:34	124060/124060	---M-Z	200	added ('OK')	text/html	etag:W/%22a15e0744f157f2ea1f7aeaec335d506b%22	https://yenmarket.vn/dua-luoi-dai-loan-cao-cap-1	D:/yenmarket/clone/yenmarket.vn/dua-luoi-dai-loan-cao-cap-1.html	(from https://yenmarket.vn/)
15:47:34	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22d651a4be814a34e31a1590ec3f92f79e%22	https://yenmarket.vn/tao-envy-s28-s30	D:/yenmarket/clone/yenmarket.vn/tao-envy-s28-s30	(from https://yenmarket.vn/)
15:47:34	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22c4dd3c4bc6eecf75c73b1f53e905b220%22	https://yenmarket.vn/quyt-uc-aph-size-48	D:/yenmarket/clone/yenmarket.vn/quyt-uc-aph-size-48	(from https://yenmarket.vn/)
